12 31 2017,13800.00,12385.00,14140.00,12183.88,43.29,11.50
12 30 2017,12377.00,14308.00,14403.00,11690.00,75.43,-13.55
12 29 2017,14317.00,14323.00,15105.00,13847.00,48.01,0.01
12 28 2017,14315.00,15374.00,15467.00,13232.00,72.89,-6.89
12 27 2017,15374.00,15680.00,16494.00,14463.00,54.99,-1.95
12 26 2017,15679.00,13627.00,16048.00,13550.00,63.44,15.09
12 25 2017,13623.00,13517.00,14278.00,12678.00,45.61,1.09
12 24 2017,13476.00,14036.00,14047.00,11601.18,72.38,-3.98
12 23 2017,14035.00,13173.00,14986.00,12755.00,59.92,6.57
12 22 2017,13170.00,15650.00,15826.00,10718.00,179.00,-15.94
12 21 2017,15666.83,16433.00,17333.00,14827.00,65.58,-4.62
12 20 2017,16425.00,17340.00,17709.00,15500.00,82.16,-5.30
12 19 2017,17345.00,18931.00,18987.00,16500.00,66.65,-8.39
12 18 2017,18934.00,18959.00,19171.00,18010.00,53.58,-0.20
12 17 2017,18971.00,19210.00,19891.00,18622.00,51.80,-1.13
12 16 2017,19187.00,17569.55,19548.00,17098.00,48.27,9.50
12 15 2017,17522.00,16396.00,18098.00,16352.00,63.11,6.95
12 14 2017,16383.00,16122.00,16999.00,15870.00,45.72,1.25
12 13 2017,16181.00,17010.00,17288.00,15674.00,62.88,-4.63
12 12 2017,16967.00,16754.00,17500.00,16234.00,52.09,1.27
12 11 2017,16754.00,14937.00,17443.00,14937.00,78.09,11.72
12 10 2017,14997.00,14660.00,15728.00,12748.00,107.05,2.30
12 09 2017,14660.00,15829.00,16300.00,13021.00,77.82,-7.62
12 08 2017,15869.00,16608.00,17160.00,13774.00,124.11,-4.41
12 07 2017,16601.00,13500.00,16639.00,13154.00,141.26,22.72
12 06 2017,13527.00,11590.00,13598.00,11590.00,83.59,16.66
12 05 2017,11595.00,11611.00,11949.00,11414.00,48.94,0.00
12 04 2017,11595.00,11162.00,11598.00,10788.00,63.74,3.93
12 03 2017,11157.00,10880.00,11842.00,10299.00,93.06,2.54
12 02 2017,10881.00,10852.00,11187.00,10627.00,49.71,0.11
12 01 2017,10869.00,9907.00,10949.00,9370.10,84.14,9.71
11 30 2017,9907.00,9771.90,10540.00,8821.00,129.07,1.62
11 29 2017,9749.40,9891.90,11427.17,9001.10,182.74,-1.50
11 28 2017,9898.00,9727.10,9977.77,9608.30,47.11,1.74
11 27 2017,9728.80,9303.90,9760.70,9268.90,66.66,4.43
11 26 2017,9316.00,8791.00,9495.00,8769.20,67.57,6.27
11 25 2017,8766.20,8191.60,8770.00,8132.90,44.25,7.01
11 24 2017,8191.60,7977.00,8350.70,7873.00,42.85,2.69
11 23 2017,7977.10,8230.00,8267.60,7977.10,32.10,-3.07
11 22 2017,8230.10,8097.30,8310.00,8064.30,28.86,1.64
11 21 2017,8097.30,8245.10,8380.00,7790.00,71.85,-1.79
11 20 2017,8245.10,8052.80,8310.20,7943.40,38.28,2.37
11 19 2017,8054.20,7770.60,8126.90,7652.00,39.13,3.61
11 18 2017,7773.30,7674.10,7867.00,7419.50,40.70,1.24
11 17 2017,7677.90,7865.00,8029.80,7511.10,75.95,-2.37
11 16 2017,7864.20,7273.70,8012.90,7099.90,85.88,8.05
11 15 2017,7278.30,6589.90,7310.20,6589.90,71.61,10.63
11 14 2017,6579.20,6476.50,6687.80,6315.40,49.52,1.62
11 13 2017,6474.60,5806.50,6680.00,5786.10,110.44,11.21
11 12 2017,5822.10,6282.40,6465.00,5426.00,172.69,-7.60
11 11 2017,6300.70,6541.20,6788.00,6166.00,72.84,-3.69
11 10 2017,6542.20,7123.30,7313.10,6405.20,88.43,-8.20
11 09 2017,7126.20,7447.00,7447.00,7017.60,50.14,-4.25
11 08 2017,7442.40,7102.00,7895.00,7029.90,97.30,4.77
11 07 2017,7103.30,6959.60,7214.40,6959.00,37.54,2.13
11 06 2017,6955.00,7355.10,7429.50,6915.10,63.27,-5.78
11 05 2017,7382.00,7370.90,7595.00,7272.00,46.29,0.18
11 04 2017,7369.00,7104.00,7521.10,6936.50,48.62,1.24
11 03 2017,7278.40,7018.90,7447.50,6926.50,64.15,3.68
11 02 2017,7019.90,6735.00,7315.10,6724.50,97.45,4.35
11 01 2017,6727.30,6450.20,6727.30,6348.00,57.13,4.17
10 31 2017,6458.30,6129.90,6472.10,6082.70,38.76,5.44
10 30 2017,6125.30,6146.00,6237.20,6010.00,33.26,-0.50
10 29 2017,6156.00,5718.10,6330.00,5662.90,61.92,7.61
10 28 2017,5720.60,5759.80,5863.90,5634.70,26.66,-0.68
10 27 2017,5759.60,5890.00,6010.20,5681.20,39.71,-2.21
10 26 2017,5890.00,5724.20,5966.60,5680.50,42.72,2.97
10 25 2017,5720.00,5509.90,5743.90,5367.90,44.80,3.82
10 24 2017,5509.50,5902.50,5902.50,5457.50,64.03,-6.73
10 23 2017,5906.90,5980.50,6051.00,5639.80,67.06,-1.23
10 22 2017,5980.50,6005.10,6069.60,5717.90,50.58,-0.41
10 21 2017,6005.10,5984.90,6190.00,5873.60,53.52,0.34
10 20 2017,5984.50,5694.00,6082.20,5606.40,61.78,5.10
10 19 2017,5694.00,5574.80,5741.00,5505.80,38.04,2.32
10 18 2017,5565.00,5597.70,5597.90,5114.30,69.04,-0.57
10 17 2017,5597.10,5764.80,5779.00,5511.00,31.91,-2.90
10 16 2017,5764.40,5712.20,5803.20,5570.40,31.41,1.15
10 15 2017,5698.60,5838.70,5876.90,5450.00,57.34,-2.34
10 14 2017,5835.00,5636.80,5854.30,5567.30,36.81,3.52
10 13 2017,5636.80,5440.00,5874.30,5376.00,99.15,3.84
10 12 2017,5428.50,4824.90,5437.60,4815.10,79.26,12.51
10 11 2017,4824.90,4777.70,4879.50,4715.00,28.92,1.00
10 10 2017,4777.00,4782.30,4940.00,4717.50,42.68,-0.11
10 09 2017,4782.30,4612.40,4874.90,4551.30,48.93,3.67
10 08 2017,4613.10,4435.90,4630.00,4417.60,29.86,3.99
10 07 2017,4436.00,4370.00,4477.10,4316.10,17.41,1.49
10 06 2017,4371.00,4312.60,4424.50,4294.00,25.94,1.29
10 05 2017,4315.40,4215.90,4364.60,4134.90,25.36,2.38
10 04 2017,4215.10,4310.60,4353.80,4177.70,26.37,-2.23
10 03 2017,4311.10,4399.30,4439.90,4222.00,28.54,-2.02
10 02 2017,4400.10,4404.30,4482.00,4359.80,29.08,-0.10
10 01 2017,4404.30,4366.60,4420.50,4257.70,29.23,0.85
09 30 2017,4367.00,4168.10,4393.40,4160.10,31.50,4.73
09 29 2017,4169.90,4190.00,4244.60,4024.70,38.94,-0.48
09 28 2017,4190.00,4207.50,4268.60,4125.00,36.57,-0.37
09 27 2017,4205.40,3881.60,4226.50,3878.10,48.62,8.41
09 26 2017,3879.10,3930.00,3983.00,3850.90,21.41,-1.30
09 25 2017,3930.00,3654.70,3977.00,3654.70,40.15,7.59
09 24 2017,3652.80,3779.60,3781.30,3620.00,20.88,-3.35
09 23 2017,3779.60,3598.70,3808.00,3559.10,25.64,5.03
09 22 2017,3598.50,3597.30,3743.60,3493.50,49.24,-0.14
09 21 2017,3603.40,3875.50,3903.70,3564.40,56.98,-6.97
09 20 2017,3873.20,3892.20,4048.00,3834.10,33.21,-0.69
09 19 2017,3900.00,4084.40,4110.00,3836.20,47.77,-4.51
09 18 2017,4084.10,3667.00,4113.90,3667.00,58.98,11.40
09 17 2017,3666.30,3680.10,3775.90,3476.30,37.05,-0.52
09 16 2017,3685.40,3697.10,3874.00,3511.10,70.74,-0.34
09 15 2017,3698.00,3237.40,3809.00,2981.00,183.11,14.20
09 14 2017,3238.10,3850.20,3917.20,3206.20,127.51,-15.89
09 13 2017,3849.70,4149.40,4159.60,3734.00,71.51,-7.08
09 12 2017,4142.90,4198.90,4378.40,4055.50,40.04,-1.43
09 11 2017,4203.00,4234.90,4373.10,4123.00,30.90,-0.69
09 10 2017,4232.10,4315.40,4325.00,3975.80,45.87,-1.99
09 09 2017,4317.90,4304.00,4381.20,4159.40,31.11,0.28
09 08 2017,4305.80,4613.50,4686.20,4107.10,60.93,-6.67
09 07 2017,4613.50,4594.60,4672.80,4465.30,23.13,0.53
09 06 2017,4589.10,4375.00,4631.40,4361.40,39.00,4.90
09 05 2017,4374.90,4210.60,4469.90,3900.10,57.73,4.15
09 04 2017,4200.40,4599.20,4606.00,4056.50,59.08,-8.59
09 03 2017,4595.00,4534.20,4699.80,4331.00,33.56,1.34
09 02 2017,4534.40,4911.80,4969.00,4400.50,55.03,-7.55
09 01 2017,4904.90,4718.30,4927.40,4660.70,28.71,3.96
08 31 2017,4718.20,4567.90,4749.90,4567.90,18.47,3.27
08 30 2017,4569.00,4586.60,4641.10,4481.10,17.07,-0.39
08 29 2017,4587.10,4385.10,4644.20,4336.70,32.70,4.64
08 28 2017,4383.80,4330.70,4395.20,4175.70,21.22,1.20
08 27 2017,4331.80,4340.20,4405.70,4305.00,11.16,-0.23
08 26 2017,4341.70,4351.50,4364.00,4243.60,14.80,-0.23
08 25 2017,4351.50,4324.10,4461.20,4277.40,27.76,0.61
08 24 2017,4325.20,4135.00,4370.80,4093.00,22.04,4.75
08 23 2017,4129.10,4086.90,4248.60,4055.90,27.49,1.35
08 22 2017,4074.00,3998.90,4140.00,3600.00,61.72,1.79
08 21 2017,4002.50,4066.30,4093.50,3956.40,26.61,-1.52
08 20 2017,4064.30,4145.00,4192.00,4040.90,25.10,-1.95
08 19 2017,4145.10,4088.20,4184.10,3920.00,41.77,1.34
08 18 2017,4090.20,4269.70,4359.00,3957.00,46.80,-3.99
08 17 2017,4260.00,4386.40,4489.10,4178.10,40.30,-2.88
08 16 2017,4386.30,4160.00,4403.60,3928.10,35.29,5.65
08 15 2017,4151.90,4321.00,4430.00,3841.90,64.13,-3.88
08 14 2017,4319.50,4061.60,4330.30,3969.30,34.22,6.57
08 13 2017,4053.30,3866.20,4183.70,3836.10,48.16,4.86
08 12 2017,3865.50,3643.40,3965.40,3590.00,37.66,6.08
08 11 2017,3644.10,3404.70,3690.60,3380.00,26.43,6.93
08 10 2017,3407.90,3340.20,3444.40,3310.00,19.13,2.04
08 09 2017,3339.90,3415.00,3424.40,3236.80,26.25,-2.20
08 08 2017,3415.00,3395.00,3482.90,3343.80,31.72,0.54
08 07 2017,3396.70,3232.50,3440.00,3190.00,24.54,5.23
08 06 2017,3227.90,3255.00,3309.80,3156.00,16.95,-0.88
08 05 2017,3256.40,2860.00,3331.90,2855.00,50.56,13.86
08 04 2017,2860.00,2790.30,2874.80,2762.60,18.99,2.50
08 03 2017,2790.30,2702.00,2813.00,2698.00,16.86,3.27
08 02 2017,2702.00,2733.80,2757.80,2640.00,23.76,-1.07
08 01 2017,2731.20,2854.30,2901.60,2615.80,42.31,-4.37
07 31 2017,2856.00,2748.90,2883.50,2694.80,27.56,3.89
07 30 2017,2749.00,2713.70,2756.20,2595.00,34.97,1.29
07 29 2017,2714.10,2784.80,2794.20,2662.60,24.25,-2.54
07 28 2017,2784.80,2664.60,2819.90,2655.50,40.54,4.50
07 27 2017,2664.90,2527.74,2682.20,2511.00,31.36,5.51
07 26 2017,2525.70,2560.90,2612.00,2404.60,34.18,-1.37
07 25 2017,2560.90,2769.70,2790.10,2435.70,56.10,-7.54
07 24 2017,2769.70,2750.10,2812.00,2707.30,20.71,0.81
07 23 2017,2747.50,2845.70,2875.70,2656.20,35.18,-3.45
07 22 2017,2845.70,2659.00,2912.90,2642.80,35.25,6.82
07 21 2017,2664.00,2874.50,2874.50,2615.00,57.43,-6.73
07 20 2017,2856.30,2253.30,2919.90,2253.30,83.44,26.77
07 19 2017,2253.10,2302.20,2399.90,2214.20,35.81,-2.13
07 18 2017,2302.10,2220.00,2380.20,2139.80,44.10,3.74
07 17 2017,2219.00,1925.00,2223.30,1924.10,40.48,15.28
